"Date","Price","Open","High","Low","Change %"
"06/22/2022","3.234","3.370","3.372","3.202","-3.91%"
"06/21/2022","3.365","3.388","3.420","3.351","-0.72%"
"06/20/2022","3.389","3.386","3.391","3.386","1.37%"
"06/17/2022","3.344","3.321","3.425","3.280","1.75%"
"06/16/2022","3.286","3.384","3.588","3.272","-2.59%"
"06/15/2022","3.373","3.564","3.578","3.368","-6.33%"
"06/14/2022","3.601","3.507","3.623","3.357","3.43%"
"06/13/2022","3.482","3.306","3.581","3.285","6.69%"
"06/10/2022","3.264","3.079","3.266","3.053","6.30%"
"06/09/2022","3.070","3.042","3.089","3.017","1.14%"
"06/08/2022","3.036","2.997","3.049","2.992","1.50%"
"06/07/2022","2.991","3.042","3.068","2.963","-1.52%"
"06/06/2022","3.037","2.934","3.044","2.930","3.39%"
"06/03/2022","2.937","2.916","2.978","2.904","0.89%"
"06/02/2022","2.911","2.918","2.945","2.897","-0.17%"
"06/01/2022","2.916","2.839","2.952","2.819","3.38%"
"05/31/2022","2.821","2.807","2.850","2.777","0.49%"
"05/30/2022","2.807","2.814","2.814","2.807","3.04%"
"05/27/2022","2.724","2.714","2.739","2.692","0.68%"
"05/26/2022","2.706","2.712","2.751","2.667","-0.74%"
"05/25/2022","2.726","2.745","2.769","2.695","-0.62%"
"05/24/2022","2.743","2.862","2.881","2.721","-4.64%"
"05/23/2022","2.876","2.825","2.887","2.809","2.51%"
"05/20/2022","2.806","2.845","2.880","2.784","-1.08%"
"05/19/2022","2.837","2.873","2.924","2.777","-1.78%"
"05/18/2022","2.888","2.960","2.998","2.873","-2.66%"
"05/17/2022","2.967","2.828","2.972","2.816","5.03%"
"05/16/2022","2.825","2.889","2.907","2.801","-1.72%"
"05/13/2022","2.874","2.842","2.907","2.823","1.26%"
"05/12/2022","2.838","2.898","2.899","2.779","-2.06%"
"05/11/2022","2.898","2.911","3.019","2.840","-0.35%"
"05/10/2022","2.908","2.945","2.980","2.859","-1.16%"
"05/09/2022","2.942","3.084","3.109","2.925","-4.45%"
"05/06/2022","3.079","3.024","3.084","2.986","2.41%"
"05/05/2022","3.007","2.940","3.058","2.913","2.75%"
"05/04/2022","2.926","3.048","3.068","2.887","-3.33%"
"05/03/2022","3.027","3.010","3.044","2.945","0.80%"
"05/02/2022","3.003","2.967","3.027","2.926","1.38%"
"04/29/2022","2.962","2.885","2.967","2.845","4.00%"
"04/28/2022","2.848","2.824","2.907","2.784","0.82%"
"04/27/2022","2.825","2.757","2.844","2.721","3.15%"
"04/26/2022","2.739","2.854","2.918","2.735","-4.21%"
"04/25/2022","2.859","2.926","2.937","2.771","-2.76%"
"04/22/2022","2.940","3.000","3.049","2.924","-0.80%"
"04/21/2022","2.964","2.862","3.016","2.860","3.57%"
"04/20/2022","2.862","2.937","2.958","2.844","-1.95%"
"04/19/2022","2.918","2.784","2.930","2.767","4.64%"
"04/18/2022","2.789","2.806","2.844","2.758","0.13%"
"04/14/2022","2.786","2.661","2.794","2.581","4.70%"
"04/13/2022","2.661","2.684","2.746","2.572","-1.32%"
"04/12/2022","2.696","2.810","2.846","2.635","-3.18%"
"04/11/2022","2.785","2.776","2.839","2.764","1.06%"
"04/08/2022","2.756","2.701","2.791","2.679","1.45%"
"04/07/2022","2.716","2.677","2.716","2.623","1.01%"
"04/06/2022","2.689","2.717","2.794","2.657","-0.56%"
"04/05/2022","2.704","2.537","2.714","2.527","6.24%"
"04/04/2022","2.545","2.594","2.601","2.523","-0.78%"
"04/01/2022","2.565","2.473","2.594","2.472","4.08%"
"03/31/2022","2.465","2.432","2.470","2.385","0.95%"
"03/30/2022","2.442","2.500","2.525","2.425","-2.40%"
"03/29/2022","2.502","2.533","2.653","2.477","-2.40%"
"03/28/2022","2.563","2.551","2.673","2.510","0.08%"
"03/25/2022","2.561","2.402","2.582","2.377","6.78%"
"03/24/2022","2.398","2.332","2.421","2.323","3.63%"
"03/23/2022","2.315","2.403","2.432","2.313","-3.55%"
"03/22/2022","2.400","2.319","2.407","2.319","3.24%"
"03/21/2022","2.324","2.143","2.340","2.143","8.30%"
"03/18/2022","2.146","2.136","2.173","2.107","0.17%"
"03/17/2022","2.142","2.178","2.183","2.109","-2.07%"
"03/16/2022","2.188","2.109","2.240","2.090","3.84%"
"03/15/2022","2.107","2.093","2.135","2.023","0.49%"
"03/14/2022","2.097","1.996","2.103","1.991","7.54%"
"03/11/2022","1.950","1.923","1.970","1.888","1.30%"
"03/10/2022","1.925","1.878","1.953","1.840","2.38%"
"03/09/2022","1.880","1.796","1.885","1.763","5.84%"
"03/08/2022","1.776","1.702","1.819","1.693","4.33%"
"03/07/2022","1.702","1.569","1.717","1.558","3.36%"
"03/04/2022","1.647","1.753","1.753","1.584","-4.83%"
"03/03/2022","1.731","1.724","1.785","1.708","-1.49%"
