"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2022","0.58459","0.61153","0.62851","0.56582","38.06M","-4.41%"
"04/29/2022","0.61153","0.64277","0.64629","0.60025","61.26M","-4.86%"
"04/28/2022","0.64277","0.65211","0.65721","0.63367","45.29M","-1.43%"
"04/27/2022","0.65211","0.64207","0.66233","0.63597","44.54M","1.52%"
"04/26/2022","0.64232","0.69320","0.70615","0.62781","52.50M","-7.34%"
"04/25/2022","0.69320","0.69824","0.69969","0.64608","59.34M","-0.74%"
"04/24/2022","0.69840","0.70564","0.71184","0.69488","23.19M","-0.99%"
"04/23/2022","0.70540","0.71778","0.72643","0.70314","17.92M","-1.72%"
"04/22/2022","0.71778","0.73269","0.73861","0.71450","29.37M","-2.03%"
"04/21/2022","0.73269","0.75167","0.76823","0.72008","31.58M","-2.51%"
"04/20/2022","0.75153","0.77487","0.77507","0.74233","26.13M","-3.02%"
"04/19/2022","0.77494","0.76980","0.78166","0.75883","23.77M","0.66%"
"04/18/2022","0.76985","0.75125","0.76985","0.72785","36.61M","2.37%"
"04/17/2022","0.75201","0.78048","0.78593","0.74830","23.34M","-3.65%"
"04/16/2022","0.78048","0.78574","0.79882","0.76609","22.99M","-0.67%"
"04/15/2022","0.78574","0.72614","0.79612","0.72592","53.01M","8.19%"
"04/14/2022","0.72623","0.72318","0.74100","0.70838","31.12M","0.50%"
"04/13/2022","0.72260","0.71514","0.72503","0.70195","33.31M","1.04%"
"04/12/2022","0.71514","0.69476","0.72530","0.69232","37.44M","2.93%"
"04/11/2022","0.69477","0.75400","0.75540","0.68142","48.71M","-7.84%"
"04/10/2022","0.75390","0.76246","0.77298","0.75235","12.23M","-1.10%"
"04/09/2022","0.76226","0.75522","0.76609","0.75346","15.49M","0.93%"
"04/08/2022","0.75521","0.78691","0.79335","0.74714","29.16M","-4.10%"
"04/07/2022","0.78752","0.75911","0.79080","0.75229","26.11M","3.70%"
"04/06/2022","0.75940","0.81651","0.81827","0.75717","50.73M","-6.99%"
"04/05/2022","0.81651","0.82606","0.83621","0.81461","20.22M","-1.19%"
"04/04/2022","0.82632","0.84281","0.84312","0.80464","31.89M","-1.96%"
"04/03/2022","0.84281","0.82414","0.85211","0.81461","15.70M","2.28%"
"04/02/2022","0.82402","0.82729","0.84989","0.81964","23.32M","-0.40%"
"04/01/2022","0.82729","0.81488","0.83376","0.80721","30.04M","1.45%"
"03/31/2022","0.81549","0.86130","0.87313","0.78223","51.21M","-5.33%"
"03/30/2022","0.86141","0.85753","0.87145","0.84619","23.36M","0.42%"
"03/29/2022","0.85779","0.86394","0.88520","0.84356","35.66M","-0.63%"
"03/28/2022","0.86324","0.85767","0.91139","0.85308","44.86M","0.65%"
"03/27/2022","0.85769","0.83255","0.85789","0.82804","19.52M","3.01%"
"03/26/2022","0.83259","0.82397","0.83479","0.82055","11.88M","1.04%"
"03/25/2022","0.82401","0.84272","0.84581","0.82015","21.62M","-2.23%"
"03/24/2022","0.84278","0.83755","0.84978","0.82738","25.79M","0.61%"
"03/23/2022","0.83764","0.83670","0.84560","0.81838","25.71M","0.11%"
"03/22/2022","0.83669","0.83736","0.86494","0.82782","32.04M","-0.08%"
"03/21/2022","0.83736","0.80556","0.85431","0.78893","36.49M","3.92%"
"03/20/2022","0.80574","0.81948","0.82184","0.79564","17.21M","-1.67%"
"03/19/2022","0.81945","0.79668","0.82648","0.79168","27.01M","2.85%"
"03/18/2022","0.79671","0.79353","0.80051","0.77653","28.65M","0.45%"
"03/17/2022","0.79318","0.79199","0.80174","0.78311","30.53M","0.15%"
"03/16/2022","0.79200","0.76579","0.79439","0.75797","43.08M","3.41%"
"03/15/2022","0.76589","0.77495","0.77622","0.74149","29.84M","-1.13%"
"03/14/2022","0.77461","0.76015","0.77754","0.74468","36.24M","1.91%"
"03/13/2022","0.76007","0.78551","0.80474","0.75269","40.88M","-3.29%"
"03/12/2022","0.78591","0.80259","0.84857","0.77875","73.54M","-2.11%"
"03/11/2022","0.80281","0.73618","0.81350","0.72536","70.12M","9.06%"
"03/10/2022","0.73613","0.76583","0.77790","0.72250","50.34M","-3.88%"
"03/09/2022","0.76586","0.72091","0.77457","0.72022","37.57M","6.24%"
"03/08/2022","0.72085","0.71983","0.73078","0.71394","32.27M","0.09%"
"03/07/2022","0.72020","0.72528","0.75387","0.70393","61.36M","-0.69%"
"03/06/2022","0.72522","0.75397","0.75873","0.72169","35.14M","-3.83%"
"03/05/2022","0.75410","0.71294","0.76860","0.70533","39.24M","5.76%"
"03/04/2022","0.71300","0.75195","0.75391","0.69587","48.40M","-5.18%"
"03/03/2022","0.75194","0.76879","0.78909","0.73492","46.37M","-2.20%"
"03/02/2022","0.76888","0.78384","0.78455","0.75679","47.96M","-1.89%"
"03/01/2022","0.78369","0.78119","0.80335","0.75794","58.74M","0.31%"
"02/28/2022","0.78123","0.72111","0.79376","0.70838","63.64M","8.34%"
"02/27/2022","0.72111","0.75558","0.76683","0.70392","65.84M","2.56%"
"02/25/2022","0.70310","0.69636","0.70479","0.68827","146.32M","0.99%"
"02/24/2022","0.69619","0.69647","0.72300","0.62238","146.08M","0.01%"
"02/23/2022","0.69610","0.72110","0.74388","0.69303","72.39M","-3.45%"
"02/22/2022","0.72100","0.70183","0.72638","0.67457","90.83M","2.76%"
"02/21/2022","0.70163","0.77655","0.80153","0.69661","92.12M","-9.66%"
"02/20/2022","0.77667","0.82142","0.82313","0.76664","76.93M","-5.43%"
"02/19/2022","0.82128","0.78404","0.85318","0.77063","69.83M","4.72%"
"02/18/2022","0.78426","0.76875","0.80493","0.75645","64.44M","2.31%"
"02/17/2022","0.76657","0.83689","0.84464","0.75467","72.75M","-8.46%"
"02/16/2022","0.83738","0.85155","0.85225","0.80947","52.68M","-1.63%"
"02/15/2022","0.85125","0.80103","0.85924","0.79629","42.86M","6.31%"
"02/14/2022","0.80076","0.80548","0.81167","0.78000","55.03M","-0.61%"
"02/13/2022","0.80565","0.82246","0.84684","0.79220","56.13M","-2.02%"
"02/12/2022","0.82222","0.75912","0.85169","0.74685","76.35M","8.25%"
"02/11/2022","0.75957","0.82517","0.83329","0.75061","71.71M","-7.94%"
"02/10/2022","0.82511","0.87036","0.89747","0.82176","90.79M","-5.19%"
"02/09/2022","0.87032","0.87597","0.91520","0.84420","89.46M","-0.64%"
"02/08/2022","0.87597","0.83156","0.91323","0.80387","155.55M","5.38%"
"02/07/2022","0.83125","0.68271","0.83830","0.67191","79.24M","21.76%"
"02/06/2022","0.68270","0.66576","0.68697","0.65961","19.44M","2.56%"
"02/05/2022","0.66566","0.65591","0.68664","0.65048","37.31M","1.49%"
"02/04/2022","0.65589","0.60967","0.65849","0.60453","31.03M","7.67%"
"02/03/2022","0.60916","0.60082","0.61065","0.58887","26.18M","1.38%"
"02/02/2022","0.60088","0.62836","0.63129","0.59558","24.83M","-4.35%"
"02/01/2022","0.62823","0.61742","0.63046","0.61128","23.35M","1.74%"
"01/31/2022","0.61749","0.60137","0.62393","0.58046","35.58M","2.60%"
"01/30/2022","0.60187","0.61757","0.62322","0.59756","26.40M","-2.48%"
"01/29/2022","0.61720","0.61132","0.62506","0.60885","24.51M","0.94%"
"01/28/2022","0.61145","0.60863","0.61366","0.59168","39.04M","0.41%"
"01/27/2022","0.60896","0.61882","0.62414","0.58952","52.94M","-1.60%"
"01/26/2022","0.61884","0.61723","0.65814","0.60495","69.26M","0.26%"
"01/25/2022","0.61726","0.61200","0.62354","0.58741","45.05M","0.87%"
"01/24/2022","0.61195","0.62872","0.62874","0.55472","96.27M","-2.70%"
"01/23/2022","0.62894","0.59699","0.63534","0.59010","59.44M","5.39%"
"01/22/2022","0.59679","0.63648","0.65280","0.55001","128.99M","-6.27%"
"01/21/2022","0.63668","0.71912","0.72857","0.61264","97.62M","-11.58%"
"01/20/2022","0.72010","0.73807","0.76198","0.71652","29.15M","-2.37%"
"01/19/2022","0.73760","0.75071","0.75328","0.72382","30.57M","-1.80%"
"01/18/2022","0.75114","0.76173","0.76860","0.73619","26.98M","-1.40%"
"01/17/2022","0.76179","0.77849","0.78038","0.75033","27.79M","-2.14%"
"01/16/2022","0.77845","0.77909","0.78425","0.76845","20.37M","-0.09%"
"01/15/2022","0.77916","0.77330","0.78946","0.76823","20.35M","0.78%"
