"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2022","148.45","148.42","148.56","148.34","20.06K","0.01%"
"09/19/2022","148.43","148.45","148.45","148.32","","-0.02%"
"09/18/2022","148.46","148.44","148.46","148.44","","-0.01%"
"09/16/2022","148.48","148.57","148.65","148.45","14.93K","-0.05%"
"09/15/2022","148.56","148.72","148.77","148.38","24.79K","-0.11%"
"09/14/2022","148.72","149.12","149.21","148.45","32.20K","-0.25%"
"09/13/2022","149.09","148.73","149.09","148.70","18.71K","-0.29%"
"09/12/2022","149.52","149.42","149.67","149.39","1.55K","0.11%"
"09/09/2022","149.36","149.46","150.27","149.36","7.73K","-0.05%"
"09/08/2022","149.44","149.26","149.53","149.08","17.87K","0.11%"
"09/07/2022","149.27","149.36","149.42","148.79","31.88K","-0.07%"
"09/06/2022","149.38","149.50","149.59","149.37","18.00K","-0.10%"
"09/05/2022","149.53","149.33","149.57","149.18","17.07K","0.17%"
"09/02/2022","149.27","149.42","149.43","149.21","21.83K","-0.11%"
"09/01/2022","149.43","149.53","149.60","149.32","23.50K","-0.07%"
"08/31/2022","149.53","149.49","149.57","149.37","21.23K","0.01%"
"08/30/2022","149.51","149.24","149.53","149.08","20.82K","0.19%"
"08/29/2022","149.22","149.59","149.73","149.22","20.25K","-0.27%"
"08/26/2022","149.62","149.50","149.75","149.49","15.48K","0.08%"
"08/25/2022","149.50","149.66","149.67","149.32","24.99K","-0.12%"
"08/24/2022","149.68","149.81","149.91","149.64","19.12K","-0.07%"
"08/23/2022","149.78","149.79","149.86","149.56","20.32K","0.05%"
"08/22/2022","149.71","150.18","150.21","149.65","24.40K","-0.33%"
"08/19/2022","150.20","150.31","150.47","150.18","18.60K","-0.05%"
"08/18/2022","150.28","150.44","150.48","150.26","20.17K","-0.13%"
"08/17/2022","150.48","150.62","150.62","150.40","14.86K","-0.09%"
"08/16/2022","150.61","150.32","150.61","150.26","16.50K","0.19%"
"08/15/2022","150.33","150.26","150.38","150.10","13.84K","0.05%"
"08/12/2022","150.26","150.31","150.61","150.16","20.27K","-0.05%"
"08/11/2022","150.33","150.50","150.50","150.28","","0.00%"
"08/10/2022","150.33","150.63","150.68","150.33","16.59K","-0.21%"
"08/09/2022","150.65","150.55","150.68","150.50","12.63K","0.07%"
"08/08/2022","150.54","150.75","150.78","150.40","17.30K","-0.11%"
"08/05/2022","150.70","150.59","150.81","150.56","15.34K","0.05%"
"08/04/2022","150.62","150.49","150.65","150.42","17.68K","0.08%"
"08/03/2022","150.50","150.64","150.79","150.34","21.87K","-0.11%"
"08/02/2022","150.67","150.48","150.74","150.43","26.47K","0.13%"
"08/01/2022","150.47","150.44","150.57","150.33","18.06K","-0.03%"
"07/29/2022","150.51","150.22","150.61","150.19","24.99K","0.17%"
"07/28/2022","150.25","150.32","150.44","150.20","19.37K","-0.03%"
"07/27/2022","150.29","150.20","150.53","150.13","19.05K","0.05%"
"07/26/2022","150.21","150.04","150.25","149.98","22.21K","0.07%"
"07/25/2022","150.10","149.74","150.42","149.72","30.46K","0.23%"
"07/22/2022","149.75","149.32","149.80","149.17","26.92K","0.27%"
"07/21/2022","149.35","149.20","149.44","149.11","14.77K","0.11%"
"07/20/2022","149.19","149.30","149.34","149.07","14.08K","-0.07%"
"07/19/2022","149.30","149.33","149.47","149.24","14.71K","0.02%"
"07/18/2022","149.27","149.42","149.52","149.24","","-0.11%"
"07/17/2022","149.43","149.41","149.43","149.41","","0.09%"
"07/15/2022","149.29","149.29","149.29","148.97","16.36K","0.04%"
"07/14/2022","149.23","149.27","149.43","149.01","22.74K","-0.02%"
"07/13/2022","149.26","149.21","149.47","149.18","13.09K","0.04%"
"07/12/2022","149.20","149.02","149.33","148.99","14.29K","0.13%"
"07/11/2022","149.01","149.24","149.38","148.80","14.09K","-0.15%"
"07/08/2022","149.24","149.43","149.47","148.94","20.10K","-0.15%"
"07/07/2022","149.47","149.36","149.66","149.17","23.27K","0.07%"
"07/06/2022","149.37","149.01","149.42","148.97","20.62K","0.28%"
"07/05/2022","148.96","148.94","149.02","148.79","14.31K","0.00%"
"07/04/2022","148.96","148.86","149.37","148.85","19.39K","0.04%"
"07/01/2022","148.90","148.62","149.03","148.60","22.96K","0.20%"
"06/30/2022","148.61","148.61","148.74","148.41","15.78K","-0.01%"
"06/29/2022","148.63","148.47","148.67","148.23","16.29K","0.09%"
"06/28/2022","148.50","148.52","148.58","148.30","11.99K","-0.01%"
"06/27/2022","148.52","148.76","148.92","148.51","14.09K","-0.17%"
"06/24/2022","148.77","148.30","148.81","148.21","28.26K","0.26%"
"06/23/2022","148.38","147.88","148.38","147.73","23.12K","0.35%"
