"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2022","158.10","158.57","159.70","157.10","680.97K","-0.20%"
"08/01/2022","158.42","157.35","158.54","156.74","562.82K","0.49%"
"07/29/2022","157.64","157.48","157.93","156.21","811.72K","-0.16%"
"07/28/2022","157.90","155.75","157.97","154.75","809.49K","1.11%"
"07/27/2022","156.16","155.80","156.24","155.36","645.61K","0.10%"
"07/26/2022","156.01","154.82","156.28","154.52","648.76K","0.81%"
"07/25/2022","154.75","154.21","154.86","153.78","503.03K","0.19%"
"07/22/2022","154.46","152.32","155.16","152.13","796.40K","1.50%"
"07/21/2022","152.18","151.88","152.38","149.69","917.64K","0.59%"
"07/20/2022","151.28","151.01","152.37","150.83","713.60K","0.12%"
"07/19/2022","151.10","152.20","152.60","150.62","695.48K","-0.54%"
"07/18/2022","151.92","152.95","153.32","151.47","508.83K","-0.77%"
"07/15/2022","153.10","152.84","153.80","152.26","578.80K","0.61%"
"07/14/2022","152.17","152.98","153.01","151.21","785.11K","-0.29%"
"07/13/2022","152.62","152.70","153.17","151.66","781.00K","-0.25%"
"07/12/2022","153.01","151.32","153.48","151.26","808.50K","1.06%"
"07/11/2022","151.40","149.90","151.67","149.75","467.79K","0.89%"
"07/08/2022","150.07","150.46","151.17","149.79","559.02K","-0.32%"
"07/07/2022","150.55","151.33","151.65","150.15","809.46K","-0.91%"
"07/06/2022","151.93","150.85","152.92","150.56","882.27K","0.46%"
"07/05/2022","151.24","149.24","151.45","148.72","804.11K","1.43%"
"07/04/2022","149.11","150.53","150.72","149.05","446.05K","-1.15%"
"07/01/2022","150.85","148.76","151.65","148.24","955.05K","1.39%"
"06/30/2022","148.78","146.97","149.35","146.50","977.26K","1.22%"
"06/29/2022","146.99","145.36","147.37","145.14","839.07K","1.25%"
"06/28/2022","145.18","146.34","146.80","144.72","795.50K","-0.89%"
"06/27/2022","146.49","147.76","147.82","146.03","603.12K","-0.98%"
"06/24/2022","147.94","147.70","149.00","146.91","781.65K","-0.17%"
"06/23/2022","148.19","145.24","148.45","144.81","1.21M","2.00%"
"06/22/2022","145.28","143.52","145.72","143.40","889.86K","1.36%"
"06/21/2022","143.33","143.29","144.01","143.05","782.89K","-0.09%"
"06/20/2022","143.46","144.29","144.98","143.15","586.74K","-0.58%"
"06/17/2022","144.30","143.54","144.99","142.56","854.89K","0.39%"
"06/16/2022","143.74","145.36","145.36","140.67","1.24M","-0.60%"
"06/15/2022","144.61","142.73","145.51","142.25","1.29M","0.71%"
"06/14/2022","143.59","144.65","145.58","142.29","1.26M","-1.10%"
"06/13/2022","145.18","146.71","147.19","144.19","1.10M","-1.22%"
"06/10/2022","146.98","147.74","148.51","146.61","956.29K","-0.55%"
"06/09/2022","147.80","148.69","149.43","147.32","1.04M","-0.79%"
"06/08/2022","148.98","149.15","149.30","148.87","7.61K","-0.37%"
"06/07/2022","149.53","148.99","149.62","148.68","131.19K","0.39%"
"06/06/2022","148.95","149.75","150.13","148.91","578.36K","-0.45%"
"06/03/2022","149.63","150.13","150.35","149.57","875.62K","-0.42%"
"06/02/2022","150.26","150.99","151.09","150.06","1.14M","-0.50%"
"06/01/2022","151.01","151.53","151.85","150.78","1.83M","-0.37%"
"05/31/2022","151.57","152.50","152.89","151.34","1.55M","-0.71%"
"05/30/2022","152.65","153.48","153.52","152.36","638.12K","-0.71%"
"05/27/2022","153.74","153.31","154.14","153.22","629.94K","0.31%"
"05/26/2022","153.26","153.86","154.74","153.19","783.65K","-0.43%"
"05/25/2022","153.92","153.55","154.43","153.48","802.67K","-0.01%"
"05/24/2022","153.94","153.10","153.98","152.77","940.98K","0.54%"
"05/23/2022","153.11","153.82","154.11","152.85","772.39K","-0.53%"
"05/20/2022","153.93","153.60","154.22","153.16","676.71K","0.03%"
"05/19/2022","153.88","153.07","154.45","152.48","935.72K","0.61%"
"05/18/2022","152.94","152.58","153.06","151.89","942.44K","0.26%"
"05/17/2022","152.54","153.72","153.74","152.33","863.00K","-0.97%"
"05/16/2022","154.03","153.88","154.20","152.99","611.24K","0.18%"
"05/13/2022","153.76","155.06","155.12","153.65","653.54K","-0.65%"
"05/12/2022","154.76","153.85","155.33","153.61","1.06M","1.21%"
"05/11/2022","152.91","152.64","153.86","151.87","1.02M","-0.03%"
"05/10/2022","152.95","151.93","153.17","151.50","787.78K","0.80%"
"05/09/2022","151.74","151.01","152.01","150.49","778.27K","0.53%"
"05/06/2022","150.94","152.55","152.74","150.81","901.94K","-1.06%"
"05/05/2022","152.55","153.60","154.18","152.15","970.86K","-0.41%"
"05/04/2022","153.18","152.86","153.73","152.44","672.88K","-0.32%"
"05/03/2022","153.67","153.34","154.10","152.66","759.38K","0.12%"
"05/02/2022","153.49","153.61","154.19","153.23","421.18K","-0.07%"
"04/29/2022","153.59","154.44","154.69","153.43","979.01K","-0.36%"
"04/28/2022","154.15","155.35","156.00","154.02","961.40K","-0.84%"
"04/27/2022","155.46","155.45","155.83","154.82","779.88K","-0.01%"
"04/26/2022","155.48","154.77","155.74","154.18","786.59K","0.38%"
"04/25/2022","154.89","153.14","155.26","153.11","814.83K","1.07%"
"04/22/2022","153.25","153.47","153.92","153.05","732.99K","-0.36%"
"04/21/2022","153.80","154.57","154.66","153.28","852.39K","-0.52%"
"04/20/2022","154.61","153.44","155.00","153.25","773.03K","0.59%"
"04/19/2022","153.70","154.55","154.70","153.29","753.45K","-0.65%"
"04/15/2022","154.71","154.71","154.71","154.71","","-0.15%"
"04/14/2022","154.95","155.48","156.17","154.63","814.99K","-0.58%"
"04/13/2022","155.86","155.10","155.91","154.51","759.54K","0.32%"
"04/12/2022","155.36","154.75","155.76","154.27","820.62K","0.21%"
"04/11/2022","155.03","156.13","156.19","154.93","738.45K","-0.98%"
"04/08/2022","156.57","157.01","157.29","156.26","648.08K","-0.17%"
"04/07/2022","156.83","157.59","157.87","156.40","911.68K","-0.26%"
"04/06/2022","157.24","157.76","157.78","156.84","818.43K","-0.31%"
"04/05/2022","157.73","159.31","159.42","157.62","832.87K","-0.86%"
"04/04/2022","159.10","158.50","159.79","158.12","772.12K","0.47%"
"04/01/2022","158.35","158.55","158.89","157.71","816.14K","-0.20%"
"03/31/2022","158.66","157.04","159.05","156.90","999.82K","0.95%"
"03/30/2022","157.16","157.53","158.06","156.37","878.66K","-0.13%"
"03/29/2022","157.37","158.22","158.33","156.05","916.30K","-0.60%"
"03/28/2022","158.32","158.47","158.67","157.65","694.00K","-0.21%"
"03/25/2022","158.65","159.15","159.64","158.08","657.96K","-0.38%"
"03/24/2022","159.26","160.05","160.26","158.73","737.86K","-0.34%"
"03/23/2022","159.80","159.39","160.31","159.06","656.78K","0.23%"
"03/22/2022","159.43","159.99","159.99","159.07","790.43K","-0.54%"
"03/21/2022","160.30","161.26","161.34","159.77","526.10K","-0.66%"
"03/18/2022","161.37","161.19","161.77","160.76","490.02K","0.22%"
"03/17/2022","161.01","161.16","161.69","160.68","715.29K","-0.04%"
"03/16/2022","161.07","161.63","161.81","160.56","690.10K","-0.56%"
"03/15/2022","161.97","161.34","162.05","160.90","617.48K","0.47%"
"03/14/2022","161.21","162.46","162.73","161.14","605.35K","-0.76%"
"03/11/2022","162.44","162.94","163.20","162.01","647.56K","-0.21%"
"03/10/2022","162.78","163.63","164.43","162.02","961.96K","-0.49%"
"03/09/2022","163.58","164.96","165.29","163.38","850.51K","-2.91%"
"03/08/2022","168.49","169.71","170.12","168.23","10.85K","-0.83%"
"03/07/2022","169.90","171.35","171.66","169.61","155.38K","-0.62%"
"03/04/2022","170.96","169.54","171.22","169.17","926.18K","1.04%"
"03/03/2022","169.20","169.55","169.75","168.46","1.52M","-0.11%"
"03/02/2022","169.38","170.45","170.85","169.01","1.50M","-0.54%"
"03/01/2022","170.30","167.75","171.12","167.31","1.79M","1.95%"
"02/28/2022","167.04","167.03","168.00","166.25","969.08K","0.54%"
"02/25/2022","166.15","166.63","167.20","165.87","853.80K","-0.47%"
"02/24/2022","166.93","166.18","168.01","166.01","1.19M","0.57%"
"02/23/2022","165.99","165.65","166.17","165.39","764.91K","0.18%"
"02/22/2022","165.70","166.92","167.17","165.16","1.04M","-0.34%"
"02/21/2022","166.26","166.77","166.97","165.80","633.56K","-0.05%"
"02/18/2022","166.34","166.20","166.74","165.61","678.08K","0.30%"
"02/17/2022","165.84","165.35","166.08","165.14","836.75K","0.37%"
"02/16/2022","165.23","164.75","165.47","164.34","805.45K","0.42%"
"02/15/2022","164.54","165.44","165.53","164.42","942.12K","-0.42%"
"02/14/2022","165.23","165.89","166.38","164.95","942.67K","0.17%"
"02/11/2022","164.95","164.71","166.46","164.48","965.98K","0.01%"
"02/10/2022","164.94","165.80","165.96","164.37","1.11M","-0.55%"
"02/09/2022","165.86","165.33","166.01","165.33","870.19K","0.41%"
"02/08/2022","165.18","165.71","166.11","165.03","1.09M","-0.25%"
"02/07/2022","165.60","166.07","166.49","165.38","1.08M","-0.25%"
"02/04/2022","166.02","166.89","167.00","165.72","1.27M","-0.53%"
"02/03/2022","166.90","168.76","168.81","166.84","1.31M","-1.04%"
"02/02/2022","168.66","168.81","169.17","168.41","759.46K","-0.06%"
"02/01/2022","168.76","169.03","169.54","168.65","791.63K","-0.21%"
"01/31/2022","169.11","169.91","169.93","168.81","935.28K","-0.54%"
"01/28/2022","170.02","170.21","170.22","169.42","783.92K","-0.08%"
"01/27/2022","170.16","169.78","170.42","169.67","788.20K","-0.11%"
"01/26/2022","170.35","170.34","170.58","169.66","685.63K","-0.18%"
"01/25/2022","170.66","170.62","170.89","170.26","794.72K","-0.12%"
"01/24/2022","170.87","170.23","171.07","170.10","740.08K","0.34%"
"01/21/2022","170.29","170.00","170.63","169.92","704.57K","0.32%"
"01/20/2022","169.74","169.28","169.94","169.21","614.30K","0.21%"
"01/19/2022","169.38","169.30","169.54","168.95","772.80K","-0.11%"
"01/18/2022","169.57","169.67","169.81","169.31","737.05K","-0.05%"
"01/17/2022","169.65","169.80","169.92","169.53","377.17K","-0.25%"
"01/14/2022","170.08","170.83","170.95","169.87","708.78K","-0.37%"
"01/13/2022","170.71","170.08","171.00","169.86","722.58K","0.29%"
"01/12/2022","170.22","169.87","170.51","169.74","800.92K","0.25%"
